ID,code,prosobranch,Carychiidae,Ferussaciidae,Azeciidae,Cochlicopidae,Enidae,Euconulidae,Gastrodontidae,Oxychilidae,Pristilomatidae,Bradybaenidae,Cochlicellidae,Helicidae,Helicodontidae,Hygromiidae,Vitrinidae,Punctidae,Argnidae,Chondrinidae,Lauriidae,Orculidae,Pupillidae,Pyramidulidae,Strobilopsidae,Valloniidae,Vertiginidae,Succineidae,Oleacinidae,Zonitidae,Clausiliidae,Agathylla,Albinaria,Alopia,Carinigera,Inchoatia,Cochlodina,Delima,Dilataria,Herilla,Isabellaria,Macedonica,Medora,Papillifera,Charpentieria,Strigilodelima,Triloba,Montenegrina,habitat_type,Latitude,Longitude
188,2001/025,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,41.3859,19.861
189,2001/026,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,41.39416667,19.88433333
190,2001/027,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,41.40216667,19.90116667
191,2001/028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,41.35466667,19.916
194,2001/031,2,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,41.23483333,19.97716667
196,2001/033,1,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.4698,20.2561
197,2001/034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.49466667,20.2705
199,2001/036,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,40.6972,19.9535
200,2001/037,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40.5865,19.99666667
201,2001/038,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.542,20.007
